"","X","BRCA","COAD","KIRC","LUAD","PRAD"
"257","sample_256",0,0,0,0,1
"258","sample_257",0,0,0,0,1
"259","sample_258",0,0,0,0,1
"260","sample_259",1,0,0,0,0
"261","sample_260",0,1,0,0,0
"262","sample_261",0,1,0,0,0
"263","sample_262",0,0,0,1,0
"264","sample_263",0,1,0,0,0
"265","sample_264",0,1,0,0,0
"266","sample_265",0,0,0,0,1
"267","sample_266",0,0,0,1,0
"268","sample_267",1,0,0,0,0
"269","sample_268",1,0,0,0,0
"270","sample_269",0,0,1,0,0
"271","sample_270",0,0,1,0,0
"272","sample_271",1,0,0,0,0
"273","sample_272",0,1,0,0,0
"274","sample_273",0,0,0,0,1
"275","sample_274",0,0,1,0,0
"276","sample_275",0,0,0,0,1
"277","sample_276",1,0,0,0,0
"278","sample_277",1,0,0,0,0
"279","sample_278",0,0,1,0,0
"280","sample_279",1,0,0,0,0
"281","sample_280",1,0,0,0,0
"282","sample_281",1,0,0,0,0
"283","sample_282",1,0,0,0,0
"284","sample_283",0,0,0,1,0
"285","sample_284",0,0,0,1,0
"286","sample_285",1,0,0,0,0
"287","sample_286",1,0,0,0,0
"288","sample_287",1,0,0,0,0
"289","sample_288",0,0,1,0,0
"290","sample_289",0,0,1,0,0
"291","sample_290",0,0,1,0,0
"292","sample_291",0,0,1,0,0
"293","sample_292",1,0,0,0,0
"294","sample_293",1,0,0,0,0
"295","sample_294",1,0,0,0,0
"296","sample_295",0,0,1,0,0
"297","sample_296",1,0,0,0,0
"298","sample_297",1,0,0,0,0
"299","sample_298",0,0,0,1,0
"300","sample_299",0,0,0,0,1
"301","sample_300",1,0,0,0,0
"302","sample_301",1,0,0,0,0
"303","sample_302",0,1,0,0,0
"304","sample_303",0,0,0,1,0
"305","sample_304",0,0,0,0,1
"306","sample_305",1,0,0,0,0
"307","sample_306",1,0,0,0,0
"308","sample_307",1,0,0,0,0
"309","sample_308",0,1,0,0,0
"310","sample_309",1,0,0,0,0
"311","sample_310",0,0,0,0,1
"312","sample_311",1,0,0,0,0
"313","sample_312",0,1,0,0,0
"314","sample_313",0,0,0,1,0
"315","sample_314",0,0,0,1,0
"316","sample_315",0,0,0,0,1
"317","sample_316",0,0,1,0,0
"318","sample_317",1,0,0,0,0
"319","sample_318",0,0,1,0,0
"320","sample_319",0,0,1,0,0
"321","sample_320",0,0,0,1,0
"322","sample_321",0,1,0,0,0
"323","sample_322",0,0,1,0,0
"324","sample_323",1,0,0,0,0
"325","sample_324",1,0,0,0,0
"326","sample_325",1,0,0,0,0
"327","sample_326",1,0,0,0,0
"328","sample_327",0,0,1,0,0
"329","sample_328",1,0,0,0,0
"330","sample_329",1,0,0,0,0
"331","sample_330",0,0,0,0,1
"332","sample_331",1,0,0,0,0
"333","sample_332",0,0,1,0,0
"334","sample_333",1,0,0,0,0
"335","sample_334",0,0,0,1,0
"336","sample_335",0,0,0,0,1
"337","sample_336",0,0,1,0,0
"338","sample_337",1,0,0,0,0
"339","sample_338",0,0,0,0,1
"340","sample_339",0,1,0,0,0
"341","sample_340",1,0,0,0,0
"342","sample_341",1,0,0,0,0
"343","sample_342",1,0,0,0,0
"344","sample_343",0,0,0,1,0
"345","sample_344",0,0,0,1,0
"346","sample_345",0,0,0,1,0
"347","sample_346",1,0,0,0,0
"348","sample_347",1,0,0,0,0
"349","sample_348",0,0,0,0,1
"350","sample_349",0,0,0,1,0
"351","sample_350",1,0,0,0,0
"352","sample_351",0,0,1,0,0
"353","sample_352",1,0,0,0,0
"354","sample_353",0,1,0,0,0
"355","sample_354",0,1,0,0,0
"356","sample_355",0,0,0,1,0
"357","sample_356",1,0,0,0,0
"358","sample_357",0,0,1,0,0
"359","sample_358",1,0,0,0,0
"360","sample_359",1,0,0,0,0
"361","sample_360",1,0,0,0,0
"362","sample_361",0,1,0,0,0
"363","sample_362",0,0,0,1,0
"364","sample_363",0,1,0,0,0
"365","sample_364",0,0,1,0,0
"366","sample_365",0,0,0,0,1
"367","sample_366",0,0,1,0,0
"368","sample_367",1,0,0,0,0
"369","sample_368",1,0,0,0,0
"370","sample_369",0,0,1,0,0
"371","sample_370",1,0,0,0,0
"372","sample_371",0,1,0,0,0
"373","sample_372",0,0,0,0,1
"374","sample_373",0,0,0,1,0
"375","sample_374",0,0,0,0,1
"376","sample_375",1,0,0,0,0
"377","sample_376",0,0,1,0,0
"378","sample_377",0,0,0,0,1
"379","sample_378",1,0,0,0,0
"380","sample_379",0,1,0,0,0
"381","sample_380",0,0,1,0,0
"382","sample_381",0,0,1,0,0
"383","sample_382",0,1,0,0,0
"384","sample_383",0,1,0,0,0
"385","sample_384",0,0,0,0,1
"386","sample_385",1,0,0,0,0
"387","sample_386",1,0,0,0,0
"388","sample_387",0,1,0,0,0
"389","sample_388",0,0,1,0,0
"390","sample_389",1,0,0,0,0
"391","sample_390",0,0,0,0,1
"392","sample_391",1,0,0,0,0
"393","sample_392",1,0,0,0,0
"394","sample_393",1,0,0,0,0
"395","sample_394",0,0,0,1,0
"396","sample_395",0,0,0,1,0
"397","sample_396",0,0,1,0,0
"398","sample_397",0,0,0,1,0
"399","sample_398",1,0,0,0,0
"400","sample_399",0,0,1,0,0
"401","sample_400",0,1,0,0,0
"402","sample_401",0,0,0,0,1
"403","sample_402",1,0,0,0,0
"404","sample_403",0,0,0,1,0
"405","sample_404",0,0,0,0,1
"406","sample_405",1,0,0,0,0
"407","sample_406",1,0,0,0,0
"408","sample_407",1,0,0,0,0
"409","sample_408",0,0,0,1,0
"410","sample_409",1,0,0,0,0
"411","sample_410",1,0,0,0,0
"412","sample_411",0,0,0,0,1
"413","sample_412",1,0,0,0,0
"414","sample_413",0,0,0,0,1
"415","sample_414",0,1,0,0,0
"416","sample_415",1,0,0,0,0
"417","sample_416",0,0,0,1,0
"418","sample_417",1,0,0,0,0
"419","sample_418",1,0,0,0,0
"420","sample_419",0,0,0,1,0
"421","sample_420",1,0,0,0,0
"422","sample_421",1,0,0,0,0
"423","sample_422",1,0,0,0,0
"424","sample_423",0,0,1,0,0
"425","sample_424",0,0,0,1,0
"426","sample_425",0,0,0,0,1
"427","sample_426",1,0,0,0,0
"428","sample_427",0,0,0,0,1
"429","sample_428",0,0,1,0,0
"430","sample_429",1,0,0,0,0
"431","sample_430",0,0,1,0,0
"432","sample_431",0,1,0,0,0
"433","sample_432",1,0,0,0,0
"434","sample_433",0,0,0,0,1
"435","sample_434",0,0,0,1,0
"436","sample_435",0,0,1,0,0
"437","sample_436",1,0,0,0,0
"438","sample_437",1,0,0,0,0
"439","sample_438",0,0,1,0,0
"440","sample_439",1,0,0,0,0
"441","sample_440",0,0,0,1,0
"442","sample_441",1,0,0,0,0
"443","sample_442",1,0,0,0,0
"444","sample_443",0,0,0,0,1
"445","sample_444",0,1,0,0,0
"446","sample_445",1,0,0,0,0
"447","sample_446",0,0,1,0,0
"448","sample_447",0,0,0,1,0
"449","sample_448",0,0,0,0,1
"450","sample_449",1,0,0,0,0
"451","sample_450",0,0,0,0,1
"452","sample_451",1,0,0,0,0
"453","sample_452",1,0,0,0,0
"454","sample_453",1,0,0,0,0
"455","sample_454",1,0,0,0,0
"456","sample_455",0,0,1,0,0
"457","sample_456",0,0,0,1,0
"458","sample_457",1,0,0,0,0
"459","sample_458",0,0,1,0,0
"460","sample_459",1,0,0,0,0
"461","sample_460",1,0,0,0,0
"462","sample_461",0,0,0,1,0
"463","sample_462",0,0,0,1,0
"464","sample_463",0,0,1,0,0
"465","sample_464",0,1,0,0,0
"466","sample_465",0,0,0,0,1
"467","sample_466",0,1,0,0,0
"468","sample_467",1,0,0,0,0
"469","sample_468",0,0,1,0,0
"470","sample_469",0,0,1,0,0
"471","sample_470",1,0,0,0,0
"472","sample_471",0,0,0,0,1
"473","sample_472",0,0,1,0,0
"474","sample_473",0,1,0,0,0
"475","sample_474",0,0,0,1,0
"476","sample_475",0,0,0,1,0
"477","sample_476",1,0,0,0,0
"478","sample_477",0,0,0,0,1
"479","sample_478",0,0,0,0,1
"480","sample_479",1,0,0,0,0
"481","sample_480",0,0,0,0,1
"482","sample_481",0,0,0,1,0
"483","sample_482",0,0,1,0,0
"484","sample_483",0,0,0,0,1
"485","sample_484",1,0,0,0,0
"486","sample_485",0,0,0,1,0
"487","sample_486",0,0,0,0,1
"488","sample_487",0,0,0,1,0
"489","sample_488",1,0,0,0,0
"490","sample_489",1,0,0,0,0
"491","sample_490",0,1,0,0,0
"492","sample_491",0,0,0,1,0
"493","sample_492",0,0,1,0,0
"494","sample_493",0,1,0,0,0
"495","sample_494",0,0,0,1,0
"496","sample_495",1,0,0,0,0
"497","sample_496",0,0,0,0,1
"498","sample_497",1,0,0,0,0
"499","sample_498",1,0,0,0,0
"500","sample_499",0,0,0,0,1
"501","sample_500",1,0,0,0,0
"502","sample_501",0,1,0,0,0
"503","sample_502",1,0,0,0,0
"504","sample_503",0,1,0,0,0
"505","sample_504",0,0,1,0,0
"506","sample_505",1,0,0,0,0
"507","sample_506",1,0,0,0,0
"508","sample_507",0,0,0,1,0
"509","sample_508",0,0,0,1,0
"510","sample_509",0,0,0,1,0
"511","sample_510",0,1,0,0,0
"512","sample_511",0,0,1,0,0
"513","sample_512",0,0,0,1,0
"514","sample_513",0,0,0,1,0
"515","sample_514",1,0,0,0,0
"516","sample_515",1,0,0,0,0
"517","sample_516",0,0,1,0,0
"518","sample_517",0,0,0,0,1
"519","sample_518",0,0,0,1,0
"520","sample_519",0,0,0,0,1
"521","sample_520",1,0,0,0,0
"522","sample_521",0,0,1,0,0
"523","sample_522",1,0,0,0,0
"524","sample_523",0,0,1,0,0
"525","sample_524",0,0,1,0,0
"526","sample_525",0,0,0,0,1
"527","sample_526",0,0,0,0,1
"528","sample_527",0,0,0,1,0
"529","sample_528",1,0,0,0,0
"530","sample_529",0,0,1,0,0
"531","sample_530",0,1,0,0,0
"532","sample_531",0,1,0,0,0
"533","sample_532",1,0,0,0,0
"534","sample_533",0,0,1,0,0
"535","sample_534",0,0,1,0,0
"536","sample_535",1,0,0,0,0
"537","sample_536",1,0,0,0,0
"538","sample_537",0,0,0,0,1
"539","sample_538",0,0,1,0,0
"540","sample_539",0,1,0,0,0
"541","sample_540",1,0,0,0,0
"542","sample_541",1,0,0,0,0
"543","sample_542",0,1,0,0,0
"544","sample_543",0,0,0,1,0
"545","sample_544",1,0,0,0,0
"546","sample_545",1,0,0,0,0
"547","sample_546",1,0,0,0,0
"548","sample_547",0,0,1,0,0
"549","sample_548",0,0,0,0,1
"550","sample_549",0,0,0,1,0
"551","sample_550",0,0,0,1,0
"552","sample_551",1,0,0,0,0
"553","sample_552",0,0,1,0,0
"554","sample_553",0,1,0,0,0
"555","sample_554",0,0,1,0,0
"556","sample_555",0,0,1,0,0
"557","sample_556",1,0,0,0,0
"558","sample_557",0,0,0,0,1
"559","sample_558",0,0,0,1,0
"560","sample_559",0,0,1,0,0
"561","sample_560",1,0,0,0,0
"562","sample_561",0,1,0,0,0
"563","sample_562",0,0,0,1,0
"564","sample_563",0,0,0,1,0
"565","sample_564",0,0,0,1,0
"566","sample_565",0,0,0,0,1
"567","sample_566",0,0,0,1,0
"568","sample_567",0,0,1,0,0
"569","sample_568",1,0,0,0,0
"570","sample_569",1,0,0,0,0
"571","sample_570",0,1,0,0,0
"572","sample_571",0,0,0,0,1
"573","sample_572",1,0,0,0,0
"574","sample_573",1,0,0,0,0
"575","sample_574",1,0,0,0,0
"576","sample_575",0,0,1,0,0
"577","sample_576",0,0,0,1,0
"578","sample_577",0,0,0,1,0
"579","sample_578",1,0,0,0,0
"580","sample_579",0,0,0,0,1
"581","sample_580",0,0,0,1,0
"582","sample_581",0,0,0,1,0
"583","sample_582",1,0,0,0,0
"584","sample_583",0,0,1,0,0
"585","sample_584",0,0,0,0,1
"586","sample_585",0,1,0,0,0
"587","sample_586",0,0,0,1,0
"588","sample_587",0,0,0,0,1
"589","sample_588",0,1,0,0,0
"590","sample_589",0,0,0,1,0
"591","sample_590",0,1,0,0,0
"592","sample_591",0,0,1,0,0
"593","sample_592",0,0,1,0,0
"594","sample_593",1,0,0,0,0
"595","sample_594",1,0,0,0,0
"596","sample_595",0,0,1,0,0
"597","sample_596",0,0,1,0,0
"598","sample_597",0,1,0,0,0
"599","sample_598",1,0,0,0,0
"600","sample_599",0,0,0,1,0
"601","sample_600",0,0,0,0,1
"602","sample_601",0,0,0,0,1
"603","sample_602",0,0,1,0,0
"604","sample_603",1,0,0,0,0
"605","sample_604",0,0,0,1,0
"606","sample_605",1,0,0,0,0
"607","sample_606",1,0,0,0,0
"608","sample_607",0,1,0,0,0
"609","sample_608",1,0,0,0,0
"610","sample_609",0,0,0,0,1
"611","sample_610",0,0,0,0,1
"612","sample_611",1,0,0,0,0
"613","sample_612",1,0,0,0,0
"614","sample_613",0,1,0,0,0
"615","sample_614",1,0,0,0,0
"616","sample_615",0,0,1,0,0
"617","sample_616",1,0,0,0,0
"618","sample_617",1,0,0,0,0
"619","sample_618",0,1,0,0,0
"620","sample_619",1,0,0,0,0
"621","sample_620",0,0,0,0,1
"622","sample_621",1,0,0,0,0
"623","sample_622",1,0,0,0,0
"624","sample_623",0,0,1,0,0
"625","sample_624",0,0,0,0,1
"626","sample_625",0,0,0,1,0
"627","sample_626",1,0,0,0,0
"628","sample_627",1,0,0,0,0
"629","sample_628",0,0,1,0,0
"630","sample_629",1,0,0,0,0
"631","sample_630",1,0,0,0,0
"632","sample_631",1,0,0,0,0
"633","sample_632",1,0,0,0,0
"634","sample_633",1,0,0,0,0
"635","sample_634",0,1,0,0,0
"636","sample_635",0,0,0,1,0
"637","sample_636",0,0,0,1,0
"638","sample_637",1,0,0,0,0
"639","sample_638",1,0,0,0,0
"640","sample_639",1,0,0,0,0
"641","sample_640",0,0,0,0,1
"642","sample_641",1,0,0,0,0
"643","sample_642",1,0,0,0,0
"644","sample_643",0,0,1,0,0
"645","sample_644",0,0,0,1,0
"646","sample_645",0,0,0,1,0
"647","sample_646",0,0,1,0,0
"648","sample_647",0,0,1,0,0
"649","sample_648",0,0,0,1,0
"650","sample_649",0,0,1,0,0
"651","sample_650",0,1,0,0,0
"652","sample_651",1,0,0,0,0
"653","sample_652",0,1,0,0,0
"654","sample_653",0,0,1,0,0
"655","sample_654",1,0,0,0,0
"656","sample_655",1,0,0,0,0
"657","sample_656",0,0,0,0,1
"658","sample_657",0,0,0,0,1
"659","sample_658",0,0,0,0,1
"660","sample_659",0,0,0,1,0
"661","sample_660",0,0,0,0,1
"662","sample_661",0,0,0,0,1
"663","sample_662",0,1,0,0,0
"664","sample_663",1,0,0,0,0
"665","sample_664",1,0,0,0,0
"666","sample_665",0,1,0,0,0
"667","sample_666",0,0,0,1,0
"668","sample_667",0,0,1,0,0
"669","sample_668",1,0,0,0,0
"670","sample_669",0,0,1,0,0
"671","sample_670",0,1,0,0,0
"672","sample_671",1,0,0,0,0
"673","sample_672",1,0,0,0,0
"674","sample_673",1,0,0,0,0
"675","sample_674",0,0,0,0,1
"676","sample_675",0,0,0,1,0
"677","sample_676",0,0,1,0,0
"678","sample_677",1,0,0,0,0
"679","sample_678",0,0,0,0,1
"680","sample_679",0,0,1,0,0
"681","sample_680",0,0,0,0,1
"682","sample_681",1,0,0,0,0
"683","sample_682",0,0,0,1,0
"684","sample_683",0,0,1,0,0
"685","sample_684",0,0,0,0,1
"686","sample_685",0,0,0,1,0
"687","sample_686",0,0,0,0,1
"688","sample_687",0,0,0,0,1
"689","sample_688",1,0,0,0,0
"690","sample_689",0,0,1,0,0
"691","sample_690",0,0,0,0,1
"692","sample_691",0,0,0,1,0
"693","sample_692",0,1,0,0,0
"694","sample_693",0,1,0,0,0
"695","sample_694",1,0,0,0,0
"696","sample_695",1,0,0,0,0
"697","sample_696",1,0,0,0,0
"698","sample_697",0,0,0,1,0
"699","sample_698",0,0,1,0,0
"700","sample_699",0,0,1,0,0
"701","sample_700",0,0,1,0,0
"702","sample_701",1,0,0,0,0
"703","sample_702",0,0,0,1,0
"704","sample_703",0,0,1,0,0
"705","sample_704",0,0,0,0,1
"706","sample_705",1,0,0,0,0
"707","sample_706",0,0,0,1,0
"708","sample_707",0,0,0,0,1
"709","sample_708",1,0,0,0,0
"710","sample_709",0,0,0,0,1
"711","sample_710",1,0,0,0,0
"712","sample_711",0,0,1,0,0
"713","sample_712",1,0,0,0,0
"714","sample_713",0,1,0,0,0
"715","sample_714",0,0,0,0,1
"716","sample_715",0,0,0,0,1
"717","sample_716",0,0,1,0,0
"718","sample_717",0,0,0,0,1
"719","sample_718",0,0,1,0,0
"720","sample_719",1,0,0,0,0
"721","sample_720",0,0,0,1,0
"722","sample_721",0,0,0,1,0
"723","sample_722",1,0,0,0,0
"724","sample_723",1,0,0,0,0
"725","sample_724",0,0,1,0,0
"726","sample_725",1,0,0,0,0
"727","sample_726",1,0,0,0,0
"728","sample_727",1,0,0,0,0
"729","sample_728",1,0,0,0,0
"730","sample_729",0,0,1,0,0
"731","sample_730",0,0,1,0,0
"732","sample_731",0,0,0,0,1
"733","sample_732",0,1,0,0,0
"734","sample_733",0,0,1,0,0
"735","sample_734",1,0,0,0,0
"736","sample_735",1,0,0,0,0
"737","sample_736",0,0,1,0,0
"738","sample_737",1,0,0,0,0
"739","sample_738",0,0,0,1,0
"740","sample_739",1,0,0,0,0
"741","sample_740",1,0,0,0,0
"742","sample_741",0,0,0,0,1
"743","sample_742",1,0,0,0,0
"744","sample_743",0,0,0,0,1
"745","sample_744",1,0,0,0,0
"746","sample_745",0,1,0,0,0
"747","sample_746",1,0,0,0,0
"748","sample_747",1,0,0,0,0
"749","sample_748",0,0,1,0,0
"750","sample_749",0,0,0,1,0
"751","sample_750",1,0,0,0,0
"752","sample_751",1,0,0,0,0
"753","sample_752",0,0,0,0,1
"754","sample_753",1,0,0,0,0
"755","sample_754",0,0,0,0,1
"756","sample_755",0,1,0,0,0
"757","sample_756",1,0,0,0,0
"758","sample_757",1,0,0,0,0
"759","sample_758",1,0,0,0,0
"760","sample_759",0,0,0,1,0
"761","sample_760",1,0,0,0,0
"762","sample_761",0,0,0,1,0
"763","sample_762",1,0,0,0,0
"764","sample_763",0,0,0,1,0
"765","sample_764",0,0,1,0,0
"766","sample_765",0,0,1,0,0
"767","sample_766",0,1,0,0,0
"768","sample_767",0,1,0,0,0
"769","sample_768",1,0,0,0,0
"770","sample_769",1,0,0,0,0
"771","sample_770",1,0,0,0,0
"772","sample_771",0,0,0,1,0
"773","sample_772",1,0,0,0,0
"774","sample_773",0,0,0,1,0
